,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2022,Intermediate,Full-time,Machine Learning Engineer,130000,USD,130000,US,WFO,US,Medium
1,2022,Intermediate,Full-time,Machine Learning Engineer,90000,USD,90000,US,WFO,US,Medium
2,2022,Intermediate,Full-time,Data Scientist,120000,USD,120000,US,WFH,US,Medium
3,2022,Intermediate,Full-time,Data Scientist,100000,USD,100000,US,WFH,US,Medium
4,2022,Intermediate,Full-time,Data Scientist,85000,USD,85000,US,WFH,US,Medium
5,2022,Intermediate,Full-time,Data Scientist,78000,USD,78000,US,WFH,US,Medium
6,2022,Expert,Full-time,Data Engineer,161000,USD,161000,US,WFH,US,Medium
7,2022,Expert,Full-time,Data Engineer,110000,USD,110000,US,WFH,US,Medium
8,2022,Expert,Full-time,Data Scientist,136000,USD,136000,US,WFH,US,Medium
9,2022,Expert,Full-time,Data Scientist,104000,USD,104000,US,WFH,US,Medium
10,2022,Expert,Full-time,Data Scientist,45000,EUR,47379,ES,WFO,ES,Medium
11,2022,Expert,Full-time,Data Scientist,36000,EUR,37903,ES,WFO,ES,Medium
12,2022,Director,Full-time,Head of Data,205000,USD,205000,US,WFO,US,Medium
13,2022,Director,Full-time,Head of Data,160000,USD,160000,US,WFO,US,Medium
14,2022,Expert,Full-time,Data Analyst,169000,USD,169000,US,WFO,US,Medium
15,2022,Expert,Full-time,Data Analyst,110600,USD,110600,US,WFO,US,Medium
16,2022,Junior,Full-time,Data Engineer,50000,GBP,61927,GB,WFH,GB,Medium
17,2022,Junior,Full-time,Data Engineer,40000,GBP,49542,GB,WFH,GB,Medium
18,2022,Expert,Full-time,Data Engineer,160000,USD,160000,US,WFO,US,Medium
19,2022,Expert,Full-time,Data Engineer,130000,USD,130000,US,WFO,US,Medium
20,2022,Expert,Full-time,Data Scientist,245000,USD,245000,US,WFO,US,Medium
21,2022,Expert,Full-time,Data Scientist,180000,USD,180000,US,WFO,US,Medium
22,2022,Expert,Full-time,Data Engineer,135000,USD,135000,US,WFO,US,Medium
23,2022,Expert,Full-time,Data Engineer,100000,USD,100000,US,WFO,US,Medium
24,2022,Expert,Full-time,Data Engineer,220000,USD,220000,US,WFO,US,Medium
25,2022,Expert,Full-time,Data Engineer,150000,USD,150000,US,WFO,US,Medium
26,2022,Expert,Full-time,Data Scientist,198440,USD,198440,US,WFO,US,Big Enterprise
27,2022,Expert,Full-time,Data Scientist,144000,USD,144000,US,WFO,US,Big Enterprise
28,2022,Expert,Full-time,Data Engineer,240000,USD,240000,US,WFO,US,Medium
29,2022,Expert,Full-time,Data Engineer,170000,USD,170000,US,WFO,US,Medium
30,2022,Expert,Full-time,Data Scientist,198440,USD,198440,US,WFO,US,Medium
31,2022,Expert,Full-time,Data Scientist,144000,USD,144000,US,WFO,US,Medium
32,2022,Intermediate,Full-time,Data Analyst,150000,USD,150000,US,WFH,US,Medium
33,2022,Intermediate,Full-time,Data Analyst,100000,USD,100000,US,WFH,US,Medium
34,2022,Expert,Full-time,Data Analyst,120000,USD,120000,US,WFO,US,Medium
35,2022,Expert,Full-time,Data Analyst,95000,USD,95000,US,WFO,US,Medium
36,2022,Intermediate,Full-time,Data Scientist,47000,GBP,58211,GB,Hybrid,GB,Medium
37,2022,Junior,Full-time,Data Analyst,64000,USD,64000,US,WFH,US,Big Enterprise
38,2022,Junior,Full-time,Data Scientist,38000,EUR,40009,FR,Hybrid,FR,Big Enterprise
39,2022,Expert,Full-time,Machine Learning Engineer,187200,USD,187200,CA,WFH,CA,Medium
40,2022,Expert,Full-time,Machine Learning Engineer,116100,USD,116100,CA,WFH,CA,Medium
41,2022,Expert,Full-time,Data Analyst,150000,USD,150000,US,WFO,US,Medium
42,2022,Expert,Full-time,Data Analyst,127000,USD,127000,US,WFO,US,Medium
43,2022,Expert,Full-time,Data Engineer,275000,USD,275000,US,WFH,US,Medium
44,2022,Expert,Full-time,Data Engineer,166000,USD,166000,US,WFH,US,Medium
45,2022,Expert,Full-time,Data Scientist,159699,USD,159699,US,WFO,US,Medium
46,2022,Expert,Full-time,Data Scientist,138938,USD,138938,US,WFO,US,Medium
47,2022,Junior,Full-time,BI Analyst,76000,USD,76000,US,Hybrid,US,Big Enterprise
48,2022,Expert,Full-time,Data Analyst,166700,USD,166700,US,WFO,US,Medium
49,2022,Expert,Full-time,Data Analyst,119000,USD,119000,US,WFO,US,Medium
50,2022,Expert,Full-time,Data Analyst,130000,USD,130000,US,WFO,US,Medium
51,2022,Expert,Full-time,Data Analyst,100000,USD,100000,US,WFO,US,Medium
52,2022,Expert,Full-time,Analytics Engineer,84000,GBP,104038,GB,WFO,GB,Medium
53,2022,Expert,Full-time,Analytics Engineer,75000,GBP,92891,GB,WFO,GB,Medium
54,2022,Expert,Full-time,Data Analyst,80000,USD,80000,US,WFO,US,Medium
55,2022,Expert,Full-time,Data Analyst,52500,USD,52500,US,WFO,US,Medium
56,2022,Expert,Full-time,Data Engineer,236000,USD,236000,US,WFH,US,Medium
57,2022,Expert,Full-time,Data Engineer,182000,USD,182000,US,WFH,US,Medium
58,2022,Expert,Full-time,Data Scientist,180000,USD,180000,US,WFH,US,Medium
59,2022,Expert,Full-time,Data Scientist,140000,USD,140000,US,WFH,US,Medium
60,2022,Expert,Full-time,Data Scientist,225000,USD,225000,US,WFO,US,Medium
61,2022,Expert,Full-time,Data Scientist,156400,USD,156400,US,WFO,US,Medium
62,2022,Expert,Full-time,Data Analyst,135000,USD,135000,US,WFH,US,Medium
63,2022,Expert,Full-time,Data Analyst,100000,USD,100000,US,WFH,US,Medium
64,2022,Expert,Full-time,Machine Learning Engineer,204500,USD,204500,US,WFO,US,Medium
65,2022,Expert,Full-time,Machine Learning Engineer,142200,USD,142200,US,WFO,US,Medium
66,2022,Intermediate,Full-time,Research Engineer,240000,USD,240000,US,WFH,US,Medium
67,2022,Junior,Part-time,Data Analyst,125404,USD,125404,CN,Hybrid,US,Startup
68,2022,Expert,Full-time,Data Engineer,300000,USD,300000,US,WFO,US,Medium
69,2022,Expert,Full-time,Data Engineer,130000,USD,130000,US,WFO,US,Medium
70,2022,Expert,Full-time,Data Engineer,195000,USD,195000,US,WFH,US,Medium
71,2022,Expert,Full-time,Data Engineer,175000,USD,175000,US,WFH,US,Medium
72,2022,Expert,Full-time,Data Engineer,155000,USD,155000,US,WFO,US,Medium
73,2022,Expert,Full-time,Data Engineer,110000,USD,110000,US,WFO,US,Medium
74,2022,Expert,Full-time,Data Operations Analyst,123000,USD,123000,US,WFO,US,Medium
75,2022,Expert,Full-time,Data Operations Analyst,92250,USD,92250,US,WFO,US,Medium
76,2022,Expert,Full-time,Data Engineer,170000,USD,170000,US,WFO,US,Medium
77,2022,Expert,Full-time,Data Engineer,150000,USD,150000,US,WFO,US,Medium
78,2022,Intermediate,Full-time,ML Engineer,180000,USD,180000,US,WFH,US,Medium
79,2022,Intermediate,Full-time,ML Engineer,100000,USD,100000,US,WFH,US,Medium
80,2022,Expert,Full-time,Data Engineer,97000,USD,97000,US,WFH,US,Medium
81,2022,Expert,Full-time,Data Engineer,90000,USD,90000,US,WFH,US,Medium
82,2022,Expert,Full-time,Data Engineer,200000,USD,200000,US,WFO,US,Medium
83,2022,Expert,Full-time,Data Engineer,160000,USD,160000,US,WFO,US,Medium
84,2022,Expert,Full-time,Machine Learning Engineer,210000,USD,210000,US,WFH,US,Medium
85,2022,Expert,Full-time,Machine Learning Engineer,180000,USD,180000,US,WFH,US,Medium
86,2022,Expert,Full-time,Data Engineer,260000,USD,260000,US,WFO,US,Medium
87,2022,Expert,Full-time,Data Engineer,180000,USD,180000,US,WFO,US,Medium
88,2022,Director,Full-time,Analytics Engineer,210000,USD,210000,US,WFH,US,Medium
89,2022,Director,Full-time,Analytics Engineer,157000,USD,157000,US,WFH,US,Medium
90,2022,Junior,Full-time,Data Scientist,180000,USD,180000,US,WFH,US,Medium
91,2022,Junior,Full-time,Data Scientist,100000,USD,100000,US,WFH,US,Medium
92,2022,Intermediate,Full-time,Data Analyst,80000,USD,80000,US,WFO,US,Medium
93,2022,Intermediate,Full-time,Data Analyst,52500,USD,52500,US,WFO,US,Medium
94,2022,Expert,Full-time,Data Architect,128000,USD,128000,US,WFO,US,Medium
95,2022,Expert,Full-time,Data Architect,81500,USD,81500,US,WFO,US,Medium
96,2022,Expert,Full-time,Data Operations Engineer,105000,USD,105000,US,WFO,US,Medium
97,2022,Expert,Full-time,Data Operations Engineer,70000,USD,70000,US,WFO,US,Medium
98,2022,Expert,Full-time,Data Scientist,175000,USD,175000,US,WFO,US,Medium
99,2022,Expert,Full-time,Data Scientist,122500,USD,122500,US,WFO,US,Medium
100,2022,Expert,Full-time,Data Engineer,171000,USD,171000,US,WFO,US,Medium
101,2022,Expert,Full-time,Data Engineer,117000,USD,117000,US,WFO,US,Medium
102,2022,Expert,Full-time,Data Scientist,202800,USD,202800,US,WFO,US,Big Enterprise
103,2022,Expert,Full-time,Data Scientist,104300,USD,104300,US,WFO,US,Big Enterprise
104,2022,Expert,Full-time,Data Analyst,48000,EUR,50537,ES,WFO,ES,Medium
105,2022,Expert,Full-time,Data Analyst,35000,EUR,36850,ES,WFO,ES,Medium
106,2022,Expert,Full-time,Data Engineer,197000,USD,197000,US,WFO,US,Medium
107,2022,Expert,Full-time,Data Engineer,99000,USD,99000,US,WFO,US,Medium
108,2022,Expert,Full-time,Data Engineer,160000,USD,160000,US,WFO,US,Medium
109,2022,Expert,Full-time,Data Engineer,110000,USD,110000,US,WFO,US,Medium
110,2022,Expert,Full-time,Data Scientist,185900,USD,185900,US,WFO,US,Medium
111,2022,Expert,Full-time,Data Scientist,129300,USD,129300,US,WFO,US,Medium
112,2021,Expert,Full-time,3D Computer Vision Researcher,5000,USD,5000,US,WFH,US,Big Enterprise
113,2022,Intermediate,Full-time,Data Scientist,30000,USD,30000,MX,WFH,MX,Big Enterprise
114,2022,Intermediate,Full-time,Analytics Engineer,78000,USD,78000,BR,WFH,BR,Medium
115,2022,Intermediate,Full-time,Analytics Engineer,48000,USD,48000,BR,WFH,BR,Medium
116,2022,Expert,Full-time,Data Engineer,170000,USD,170000,US,WFO,US,Medium
117,2022,Expert,Full-time,Data Engineer,130000,USD,130000,US,WFO,US,Medium
118,2022,Expert,Full-time,Data Analyst,150000,USD,150000,US,WFO,US,Medium
119,2022,Expert,Full-time,Data Analyst,95000,USD,95000,US,WFO,US,Medium
120,2022,Intermediate,Full-time,Data Engineer,78000,USD,78000,BR,WFH,BR,Medium
121,2022,Intermediate,Full-time,Data Engineer,42000,USD,42000,BR,WFH,BR,Medium
122,2022,Expert,Full-time,Data Architect,345600,USD,345600,US,WFO,US,Medium
123,2022,Expert,Full-time,Data Architect,230400,USD,230400,US,WFO,US,Medium
124,2022,Expert,Full-time,Data Engineer,145000,USD,145000,US,WFO,US,Medium
125,2022,Expert,Full-time,Data Engineer,115000,USD,115000,US,WFO,US,Medium
126,2022,Intermediate,Full-time,BI Analyst,78000,USD,78000,BR,WFH,BR,Medium
127,2022,Intermediate,Full-time,BI Analyst,48000,USD,48000,BR,WFH,BR,Medium
128,2022,Expert,Full-time,Data Analyst,175950,USD,175950,US,WFH,US,Medium
129,2022,Expert,Full-time,Data Analyst,130050,USD,130050,US,WFH,US,Medium
130,2022,Expert,Full-time,Data Engineer,205600,USD,205600,US,WFO,US,Big Enterprise
131,2022,Expert,Full-time,Data Engineer,105700,USD,105700,US,WFO,US,Big Enterprise
132,2022,Expert,Full-time,Data Analyst,236600,USD,236600,US,WFH,US,Medium
133,2022,Expert,Full-time,Data Analyst,89200,USD,89200,US,WFH,US,Medium
134,2022,Intermediate,Full-time,Data Scientist,84000,USD,84000,BR,WFH,BR,Medium
135,2022,Intermediate,Full-time,Data Scientist,54000,USD,54000,BR,WFH,BR,Medium
136,2022,Junior,Full-time,Data Scientist,80000,USD,80000,US,WFH,US,Big Enterprise
137,2022,Expert,Full-time,Marketing Data Analyst,200000,USD,200000,GB,WFH,GB,Startup
138,2022,Junior,Full-time,Data Scientist,96000,CAD,74286,CA,WFH,CA,Big Enterprise
139,2022,Expert,Full-time,Data Science Lead,165000,USD,165000,US,Hybrid,US,Startup
